text,label,wikipedia_title,wikipedia_url,source_section,source_page,source_example_type,source_license
"A falchion (; Old French: fauchon; Latin: falx, ""sickle"") is a one-handed, single-edged 32–38-inch (81–97 cm) sword of European origin. Falchions are found in different forms from around the 13th century up to and including the 16th century. In some versions, the falchion looks rather like the seax and later the sabre, and in other versions more like a machete with a crossguard.",falchion,Falchion,https://en.wikipedia.org/wiki/Falchion,Hand-to-hand combat > Edged and bladed weapons > Swords > Curved one-handed,List of premodern combat weapons,wikipedia_intro_template_1,CC BY-SA 4.0
"Falchion. A falchion (; Old French: fauchon; Latin: falx, ""sickle"") is a one-handed, single-edged 32–38-inch (81–97 cm) sword of European origin. Falchions are found in different forms from around the 13th century up to and including the 16th century. In some versions, the falchion looks rather like the seax and later the sabre, and in other versions more like a machete with a crossguard.",falchion,Falchion,https://en.wikipedia.org/wiki/Falchion,Hand-to-hand combat > Edged and bladed weapons > Swords > Curved one-handed,List of premodern combat weapons,wikipedia_intro_template_2,CC BY-SA 4.0
Wikipedia list context: Falchion (European). Section: Hand-to-hand combat > Edged and bladed weapons > Swords > Curved one-handed.,falchion,Falchion,https://en.wikipedia.org/wiki/Falchion,Hand-to-hand combat > Edged and bladed weapons > Swords > Curved one-handed,List of premodern combat weapons,wikipedia_intro_template_3,CC BY-SA 4.0
"A historical weapon called Falchion is described as follows: A falchion (; Old French: fauchon; Latin: falx, ""sickle"") is a one-handed, single-edged 32–38-inch (81–97 cm) sword of European origin. Falchions are found in different forms from around the 13th century up to and including the 16th century. In some versions, the falchion looks rather like the seax and later the sabre, and in other versions more like a machete with a crossguard.",falchion,Falchion,https://en.wikipedia.org/wiki/Falchion,Hand-to-hand combat > Edged and bladed weapons > Swords > Curved one-handed,List of premodern combat weapons,wikipedia_intro_template_4,CC BY-SA 4.0
"Artifact identification note: Falchion appears in the Wikipedia cold-weapon list under Hand-to-hand combat > Edged and bladed weapons > Swords > Curved one-handed. A falchion (; Old French: fauchon; Latin: falx, ""sickle"") is a one-handed, single-edged 32–38-inch (81–97 cm) sword of European origin. Falchions are found in different forms from around the 13th century up to and including the 16th century. In some versions, the falchion looks rather like the seax and later the sabre, and in other versions more like a machete with a crossguard.",falchion,Falchion,https://en.wikipedia.org/wiki/Falchion,Hand-to-hand combat > Edged and bladed weapons > Swords > Curved one-handed,List of premodern combat weapons,wikipedia_intro_template_5,CC BY-SA 4.0
"Possible visual description for Falchion: Falchion (European). Wikipedia summary: A falchion (; Old French: fauchon; Latin: falx, ""sickle"") is a one-handed, single-edged 32–38-inch (81–97 cm) sword of European origin. Falchions are found in different forms from around the 13th century up to and including the 16th century. In some versions, the falchion looks rather like the seax and later the sabre, and in other versions more like a machete with a crossguard.",falchion,Falchion,https://en.wikipedia.org/wiki/Falchion,Hand-to-hand combat > Edged and bladed weapons > Swords > Curved one-handed,List of premodern combat weapons,wikipedia_intro_template_6,CC BY-SA 4.0
"A backsword is a type of sword characterised by having a single-edged blade and a hilt with a single-handed grip. It is so called because the triangular cross section gives a flat back edge opposite the cutting edge. Later examples often have a ""false edge"" on the back near the tip, which was in many cases sharpened to make an actual edge and facilitate thrusting attacks. From around the early 14th century, the backsword became the first type of European sword to be fitted with a knuckle guard. The term ""backsword"" can also refer to the singlestick, which is used to train for fighting with the backsword, or to the sport or art of fighting in this fashion. Backswording was an alternative.",backsword,Backsword,https://en.wikipedia.org/wiki/Backsword,Hand-to-hand combat > Edged and bladed weapons > Swords > Straight one-handed,List of premodern combat weapons,wikipedia_intro_template_1,CC BY-SA 4.0
"Backsword. A backsword is a type of sword characterised by having a single-edged blade and a hilt with a single-handed grip. It is so called because the triangular cross section gives a flat back edge opposite the cutting edge. Later examples often have a ""false edge"" on the back near the tip, which was in many cases sharpened to make an actual edge and facilitate thrusting attacks. From around the early 14th century, the backsword became the first type of European sword to be fitted with a knuckle guard. The term ""backsword"" can also refer to the singlestick, which is used to train for fighting with the backsword, or to the sport or art of fighting in this fashion. Backswording was an alternative.",backsword,Backsword,https://en.wikipedia.org/wiki/Backsword,Hand-to-hand combat > Edged and bladed weapons > Swords > Straight one-handed,List of premodern combat weapons,wikipedia_intro_template_2,CC BY-SA 4.0
Wikipedia list context: Backsword (European). Section: Hand-to-hand combat > Edged and bladed weapons > Swords > Straight one-handed.,backsword,Backsword,https://en.wikipedia.org/wiki/Backsword,Hand-to-hand combat > Edged and bladed weapons > Swords > Straight one-handed,List of premodern combat weapons,wikipedia_intro_template_3,CC BY-SA 4.0
"A historical weapon called Backsword is described as follows: A backsword is a type of sword characterised by having a single-edged blade and a hilt with a single-handed grip. It is so called because the triangular cross section gives a flat back edge opposite the cutting edge. Later examples often have a ""false edge"" on the back near the tip, which was in many cases sharpened to make an actual edge and facilitate thrusting attacks. From around the early 14th century, the backsword became the first type of European sword to be fitted with a knuckle guard. The term ""backsword"" can also refer to the singlestick, which is used to train for fighting with the backsword, or to the sport or art of fighting in this fashion. Backswording was an alternative.",backsword,Backsword,https://en.wikipedia.org/wiki/Backsword,Hand-to-hand combat > Edged and bladed weapons > Swords > Straight one-handed,List of premodern combat weapons,wikipedia_intro_template_4,CC BY-SA 4.0
