text,label,wikipedia_title,wikipedia_url,source_section,source_page,source_example_type,source_license
"The bagh nakh, vagh nakh, or vagh nakhya (Marathi: वाघनख / वाघनख्या, Bengali: বাঘনখ, Hindi: बाघ नख, Urdu: باگھ نکھ, lit. tiger claw) is a fist-load, claw-like dagger, originating from the Indian subcontinent, designed to fit over the knuckles or be concealed under and against the palm. It consists of four or five curved blades affixed to a crossbar or glove and is designed to slash through skin and muscle. It is believed to have been inspired by the armament of big cats, and the term bagh nakh itself means tiger's claw in Hindi. == History == There are conflicting reports of the time period in which the bagh nakh first appeared. Poisoned bagh nakh had been used by the Rajput clans for assassinations. The most well-known usage of the weapon was by the first Maratha emperor Shivaji who used a bichuwa and bagh nakh to kill the Bijapur general Afzal Khan. It is a popular weapon among the Nihang Sikhs who wear it in their turbans and often hold one in their left hand while wielding a larger weapon such as a sword in the right hand. It is recommended that Nihang women carry a bagh nakh when going alone to dangerous areas. The Nihangs also have a number of traditional weapons one of them...",bagh_nakh,Bagh nakh,https://en.wikipedia.org/wiki/Bagh_nakh,Hand-to-hand combat > Hand or fist weapons and fans,Wikipedia dataset builder (multi-source),wikipedia_clean_0,CC BY-SA 4.0
"This artifact is described as: The bagh nakh, vagh nakh, or vagh nakhya (Marathi: वाघनख / वाघनख्या, Bengali: বাঘনখ, Hindi: बाघ नख, Urdu: باگھ نکھ, lit. tiger claw) is a fist-load, claw-like dagger, originating from the Indian subcontinent, designed to fit over the knuckles or be concealed under and against the palm. It consists of four or five curved blades affixed to a crossbar or glove and is designed to slash through skin and muscle. It is believed to have been inspired by the armament of big cats, and the term bagh nakh itself means tiger's claw in Hindi. == History == There are conflicting reports of the time period in which the bagh nakh first appeared. Poisoned bagh nakh had been used by the Rajput clans for assassinations. The most well-known usage of the weapon was by the first Maratha emperor Shivaji who used a bichuwa and bagh nakh to kill the Bijapur general Afzal Khan. It is a popular weapon among the Nihang Sikhs who wear it in their turbans and often hold one in their left hand while wielding a larger weapon such as a sword in the right hand. It is recommended that Nihang women carry a bagh nakh when going alone to dangerous areas. The Nihangs also have a number of traditional weapons one of them...",bagh_nakh,Bagh nakh,https://en.wikipedia.org/wiki/Bagh_nakh,Hand-to-hand combat > Hand or fist weapons and fans,Wikipedia dataset builder (multi-source),wikipedia_clean_1,CC BY-SA 4.0
"Historical record: The bagh nakh, vagh nakh, or vagh nakhya (Marathi: वाघनख / वाघनख्या, Bengali: বাঘনখ, Hindi: बाघ नख, Urdu: باگھ نکھ, lit. tiger claw) is a fist-load, claw-like dagger, originating from the Indian subcontinent, designed to fit over the knuckles or be concealed under and against the palm. It consists of four or five curved blades affixed to a crossbar or glove and is designed to slash through skin and muscle. It is believed to have been inspired by the armament of big cats, and the term bagh nakh itself means tiger's claw in Hindi. == History == There are conflicting reports of the time period in which the bagh nakh first appeared. Poisoned bagh nakh had been used by the Rajput clans for assassinations. The most well-known usage of the weapon was by the first Maratha emperor Shivaji who used a bichuwa and bagh nakh to kill the Bijapur general Afzal Khan. It is a popular weapon among the Nihang Sikhs who wear it in their turbans and often hold one in their left hand while wielding a larger weapon such as a sword in the right hand. It is recommended that Nihang women carry a bagh nakh when going alone to dangerous areas. The Nihangs also have a number of traditional weapons one of them...",bagh_nakh,Bagh nakh,https://en.wikipedia.org/wiki/Bagh_nakh,Hand-to-hand combat > Hand or fist weapons and fans,Wikipedia dataset builder (multi-source),wikipedia_clean_2,CC BY-SA 4.0
"A backsword is a type of sword characterised by having a single-edged blade and a hilt with a single-handed grip. It is so called because the triangular cross section gives a flat back edge opposite the cutting edge. Later examples often have a ""false edge"" on the back near the tip, which was in many cases sharpened to make an actual edge and facilitate thrusting attacks. From around the early 14th century, the backsword became the first type of European sword to be fitted with a knuckle guard. The term ""backsword"" can also refer to the singlestick, which is used to train for fighting with the backsword, or to the sport or art of fighting in this fashion. Backswording was an alternative term for singlesticking tournaments in England. Being easier and cheaper to make than double-edged swords, backswords became the favored sidearm of common infantry, including irregulars such as the Highland Scots, which in Scottish Gaelic were called the claidheamh cuil (back sword), after one of several terms for the distinct types of weapons they used. Backswords were often the secondary weapons of European cavalrymen beginning in the 17th century. == See also == Classifications of swords Types of...",backsword,Backsword,https://en.wikipedia.org/wiki/Backsword,Hand-to-hand combat > Edged and bladed weapons > Swords > Straight one-handed,Wikipedia dataset builder (multi-source),wikipedia_clean_0,CC BY-SA 4.0
"This artifact is described as: A backsword is a type of sword characterised by having a single-edged blade and a hilt with a single-handed grip. It is so called because the triangular cross section gives a flat back edge opposite the cutting edge. Later examples often have a ""false edge"" on the back near the tip, which was in many cases sharpened to make an actual edge and facilitate thrusting attacks. From around the early 14th century, the backsword became the first type of European sword to be fitted with a knuckle guard. The term ""backsword"" can also refer to the singlestick, which is used to train for fighting with the backsword, or to the sport or art of fighting in this fashion. Backswording was an alternative term for singlesticking tournaments in England. Being easier and cheaper to make than double-edged swords, backswords became the favored sidearm of common infantry, including irregulars such as the Highland Scots, which in Scottish Gaelic were called the claidheamh cuil (back sword), after one of several terms for the distinct types of weapons they used. Backswords were often the secondary weapons of European cavalrymen beginning in the 17th century. == See also == Classifications of swords Types of...",backsword,Backsword,https://en.wikipedia.org/wiki/Backsword,Hand-to-hand combat > Edged and bladed weapons > Swords > Straight one-handed,Wikipedia dataset builder (multi-source),wikipedia_clean_1,CC BY-SA 4.0
"Historical record: A backsword is a type of sword characterised by having a single-edged blade and a hilt with a single-handed grip. It is so called because the triangular cross section gives a flat back edge opposite the cutting edge. Later examples often have a ""false edge"" on the back near the tip, which was in many cases sharpened to make an actual edge and facilitate thrusting attacks. From around the early 14th century, the backsword became the first type of European sword to be fitted with a knuckle guard. The term ""backsword"" can also refer to the singlestick, which is used to train for fighting with the backsword, or to the sport or art of fighting in this fashion. Backswording was an alternative term for singlesticking tournaments in England. Being easier and cheaper to make than double-edged swords, backswords became the favored sidearm of common infantry, including irregulars such as the Highland Scots, which in Scottish Gaelic were called the claidheamh cuil (back sword), after one of several terms for the distinct types of weapons they used. Backswords were often the secondary weapons of European cavalrymen beginning in the 17th century. == See also == Classifications of swords Types of...",backsword,Backsword,https://en.wikipedia.org/wiki/Backsword,Hand-to-hand combat > Edged and bladed weapons > Swords > Straight one-handed,Wikipedia dataset builder (multi-source),wikipedia_clean_2,CC BY-SA 4.0
"Dōtanuki (同田貫) is a name of a Japanese school of swordsmiths from Higo province who produced swords in the Bizen tradition during the feudal period of Japan. == Dotanuki School == The Dotanuki school evolved in Higo Province with its ancestry going back to the famous ""Enju Kunimura"" (延寿 国村). Enju Kunimura founded the Higo Enju school in approximately 1305. Kunimura was born in Yamato province to the swordsmith Hiromura. He moved to Yamashiro province, became a student of Rai Kuniyuki, and later married Kuniyuki's daughter. Kunimura then moved to Higo and founded the Enju school. There are only six blades by Kunimura known to exist. The Dotanuki school emerged in the small Higo village of Dotanuki in the mid-16th century, following the decline of the Higo Enju school in the latter part of the Koto period. The Dotanuki school founder is said to be Dotanuki Masakuni, he was called Oyama Kozuke no Suke and his original signature was Nobuyoshi. The famous general Katō Kiyomasa honored Masakuni with one character of his name, and from that point onward Nobuyoshi was known as Masakuni. However, the majority of his works are only signed ""Dotanuki Kozuke no Suke"". Dotanuki swords quickly...",dotanuki,Dōtanuki,https://en.wikipedia.org/wiki/D%C5%8Dtanuki,Hand-to-hand combat > Edged and bladed weapons > Swords > Curved two-handed,Wikipedia dataset builder (multi-source),wikipedia_clean_0,CC BY-SA 4.0
"This artifact is described as: Dōtanuki (同田貫) is a name of a Japanese school of swordsmiths from Higo province who produced swords in the Bizen tradition during the feudal period of Japan. == Dotanuki School == The Dotanuki school evolved in Higo Province with its ancestry going back to the famous ""Enju Kunimura"" (延寿 国村). Enju Kunimura founded the Higo Enju school in approximately 1305. Kunimura was born in Yamato province to the swordsmith Hiromura. He moved to Yamashiro province, became a student of Rai Kuniyuki, and later married Kuniyuki's daughter. Kunimura then moved to Higo and founded the Enju school. There are only six blades by Kunimura known to exist. The Dotanuki school emerged in the small Higo village of Dotanuki in the mid-16th century, following the decline of the Higo Enju school in the latter part of the Koto period. The Dotanuki school founder is said to be Dotanuki Masakuni, he was called Oyama Kozuke no Suke and his original signature was Nobuyoshi. The famous general Katō Kiyomasa honored Masakuni with one character of his name, and from that point onward Nobuyoshi was known as Masakuni. However, the majority of his works are only signed ""Dotanuki Kozuke no Suke"". Dotanuki swords quickly...",dotanuki,Dōtanuki,https://en.wikipedia.org/wiki/D%C5%8Dtanuki,Hand-to-hand combat > Edged and bladed weapons > Swords > Curved two-handed,Wikipedia dataset builder (multi-source),wikipedia_clean_1,CC BY-SA 4.0
"Historical record: Dōtanuki (同田貫) is a name of a Japanese school of swordsmiths from Higo province who produced swords in the Bizen tradition during the feudal period of Japan. == Dotanuki School == The Dotanuki school evolved in Higo Province with its ancestry going back to the famous ""Enju Kunimura"" (延寿 国村). Enju Kunimura founded the Higo Enju school in approximately 1305. Kunimura was born in Yamato province to the swordsmith Hiromura. He moved to Yamashiro province, became a student of Rai Kuniyuki, and later married Kuniyuki's daughter. Kunimura then moved to Higo and founded the Enju school. There are only six blades by Kunimura known to exist. The Dotanuki school emerged in the small Higo village of Dotanuki in the mid-16th century, following the decline of the Higo Enju school in the latter part of the Koto period. The Dotanuki school founder is said to be Dotanuki Masakuni, he was called Oyama Kozuke no Suke and his original signature was Nobuyoshi. The famous general Katō Kiyomasa honored Masakuni with one character of his name, and from that point onward Nobuyoshi was known as Masakuni. However, the majority of his works are only signed ""Dotanuki Kozuke no Suke"". Dotanuki swords quickly...",dotanuki,Dōtanuki,https://en.wikipedia.org/wiki/D%C5%8Dtanuki,Hand-to-hand combat > Edged and bladed weapons > Swords > Curved two-handed,Wikipedia dataset builder (multi-source),wikipedia_clean_2,CC BY-SA 4.0
"The changdao (traditional Chinese: 長刀; simplified Chinese: 长刀; pinyin: chángdāo; lit. 'long sword') was a two-handed, single-edged Chinese sword. The term changdao has been translated as ""long saber,"" ""saber-staff,"" or ""long-handled saber."" During the Ming dynasty, changdao was often used as a general term for two-handed swords and was used in the frequent raids along the coast. After Republican Era, the term miaodao is sometimes used to describe changdao due to similarity. Tang dynasty sources describe the changdao as being identical to the modao (Chinese: 陌刀), but the modao may have been a double-edged weapon like earlier zhanmajian. The changdao seems to have first appeared during the Tang dynasty as the preferred weapon choice for elite vanguard infantry units in the Tang army. It was described as having an overall length of seven feet, composed of a three-foot-long single-edged blade and a four-foot-long pole grip. Due to its considerable length and size, it became one of the hallmarks of elite Tang infantry and was often placed at the front of the army as spearheads against enemy formations. The Taibai Yinjing states: In one army, there are 12,500 officers and men. Ten thousand...",changdao,Changdao,https://en.wikipedia.org/wiki/Changdao,Hand-to-hand combat > Edged and bladed weapons > Swords > Hand-and-a-half and two-handed greatswords,Wikipedia dataset builder (multi-source),wikipedia_clean_0,CC BY-SA 4.0
