text,label,wikipedia_title,wikipedia_url,source_section,source_page,source_example_type,source_license
"A falchion (; Old French: fauchon; Latin: falx, ""sickle"") is a one-handed, single-edged 32–38-inch (81–97 cm) sword of European origin. Falchions are found in different forms from around the 13th century up to and including the 16th century. In some versions, the falchion looks rather like the seax and later the sabre, and in other versions more like a machete with a crossguard.",falchion,Falchion,https://en.wikipedia.org/wiki/Falchion,Hand-to-hand combat > Edged and bladed weapons > Swords > Curved one-handed,Wikipedia dataset builder (multi-source),wikipedia_clean_0,CC BY-SA 4.0
"This artifact is described as: A falchion (; Old French: fauchon; Latin: falx, ""sickle"") is a one-handed, single-edged 32–38-inch (81–97 cm) sword of European origin. Falchions are found in different forms from around the 13th century up to and including the 16th century. In some versions, the falchion looks rather like the seax and later the sabre, and in other versions more like a machete with a crossguard.",falchion,Falchion,https://en.wikipedia.org/wiki/Falchion,Hand-to-hand combat > Edged and bladed weapons > Swords > Curved one-handed,Wikipedia dataset builder (multi-source),wikipedia_clean_1,CC BY-SA 4.0
"Historical record: A falchion (; Old French: fauchon; Latin: falx, ""sickle"") is a one-handed, single-edged 32–38-inch (81–97 cm) sword of European origin. Falchions are found in different forms from around the 13th century up to and including the 16th century. In some versions, the falchion looks rather like the seax and later the sabre, and in other versions more like a machete with a crossguard.",falchion,Falchion,https://en.wikipedia.org/wiki/Falchion,Hand-to-hand combat > Edged and bladed weapons > Swords > Curved one-handed,Wikipedia dataset builder (multi-source),wikipedia_clean_2,CC BY-SA 4.0
"A backsword is a type of sword characterised by having a single-edged blade and a hilt with a single-handed grip. It is so called because the triangular cross section gives a flat back edge opposite the cutting edge. Later examples often have a ""false edge"" on the back near the tip, which was in many cases sharpened to make an actual edge and facilitate thrusting attacks. From around the early 14th century, the backsword became the first type of European sword to be fitted with a knuckle guard. The term ""backsword"" can also refer to the singlestick, which is used to train for fighting with the backsword, or to the sport or art of fighting in this fashion. Backswording was an alternative.",sword,Backsword,https://en.wikipedia.org/wiki/Backsword,Hand-to-hand combat > Edged and bladed weapons > Swords > Straight one-handed,Wikipedia dataset builder (multi-source),wikipedia_clean_0,CC BY-SA 4.0
"This artifact is described as: A backsword is a type of sword characterised by having a single-edged blade and a hilt with a single-handed grip. It is so called because the triangular cross section gives a flat back edge opposite the cutting edge. Later examples often have a ""false edge"" on the back near the tip, which was in many cases sharpened to make an actual edge and facilitate thrusting attacks. From around the early 14th century, the backsword became the first type of European sword to be fitted with a knuckle guard. The term ""backsword"" can also refer to the singlestick, which is used to train for fighting with the backsword, or to the sport or art of fighting in this fashion. Backswording was an alternative.",sword,Backsword,https://en.wikipedia.org/wiki/Backsword,Hand-to-hand combat > Edged and bladed weapons > Swords > Straight one-handed,Wikipedia dataset builder (multi-source),wikipedia_clean_1,CC BY-SA 4.0
"Historical record: A backsword is a type of sword characterised by having a single-edged blade and a hilt with a single-handed grip. It is so called because the triangular cross section gives a flat back edge opposite the cutting edge. Later examples often have a ""false edge"" on the back near the tip, which was in many cases sharpened to make an actual edge and facilitate thrusting attacks. From around the early 14th century, the backsword became the first type of European sword to be fitted with a knuckle guard. The term ""backsword"" can also refer to the singlestick, which is used to train for fighting with the backsword, or to the sport or art of fighting in this fashion. Backswording was an alternative.",sword,Backsword,https://en.wikipedia.org/wiki/Backsword,Hand-to-hand combat > Edged and bladed weapons > Swords > Straight one-handed,Wikipedia dataset builder (multi-source),wikipedia_clean_2,CC BY-SA 4.0
"The jian (Mandarin Chinese: [tɕjɛ̂n], Chinese: 劍, English approximation: jyehn, Cantonese: [kim˧]) is a double-edged straight sword used during the last 2,500 years in China. The first Chinese sources that mention the jian date to the 7th century BCE, during the Spring and Autumn period, one of the earliest specimens being the Sword of Goujian. Historical one-handed versions have blades varying from 45 to 80 centimeters (18 to 31 inches) in length. The weight of an average sword of 70-centimetre (28-inch) blade-length would be approximately 700 to 900 grams (1.5 to 2 pounds). There are also larger two-handed versions used for training by many styles of Chinese martial arts. Professional.",jian,Jian,https://en.wikipedia.org/wiki/Jian,Hand-to-hand combat > Edged and bladed weapons > Swords > Straight one-handed,Wikipedia dataset builder (multi-source),wikipedia_clean_0,CC BY-SA 4.0
"This artifact is described as: The jian (Mandarin Chinese: [tɕjɛ̂n], Chinese: 劍, English approximation: jyehn, Cantonese: [kim˧]) is a double-edged straight sword used during the last 2,500 years in China. The first Chinese sources that mention the jian date to the 7th century BCE, during the Spring and Autumn period, one of the earliest specimens being the Sword of Goujian. Historical one-handed versions have blades varying from 45 to 80 centimeters (18 to 31 inches) in length. The weight of an average sword of 70-centimetre (28-inch) blade-length would be approximately 700 to 900 grams (1.5 to 2 pounds). There are also larger two-handed versions used for training by many styles of Chinese martial arts. Professional.",jian,Jian,https://en.wikipedia.org/wiki/Jian,Hand-to-hand combat > Edged and bladed weapons > Swords > Straight one-handed,Wikipedia dataset builder (multi-source),wikipedia_clean_1,CC BY-SA 4.0
"Historical record: The jian (Mandarin Chinese: [tɕjɛ̂n], Chinese: 劍, English approximation: jyehn, Cantonese: [kim˧]) is a double-edged straight sword used during the last 2,500 years in China. The first Chinese sources that mention the jian date to the 7th century BCE, during the Spring and Autumn period, one of the earliest specimens being the Sword of Goujian. Historical one-handed versions have blades varying from 45 to 80 centimeters (18 to 31 inches) in length. The weight of an average sword of 70-centimetre (28-inch) blade-length would be approximately 700 to 900 grams (1.5 to 2 pounds). There are also larger two-handed versions used for training by many styles of Chinese martial arts. Professional.",jian,Jian,https://en.wikipedia.org/wiki/Jian,Hand-to-hand combat > Edged and bladed weapons > Swords > Straight one-handed,Wikipedia dataset builder (multi-source),wikipedia_clean_2,CC BY-SA 4.0
"Dao (pronunciation: [táʊ], English approximation: dow, Chinese: 刀; pinyin: dāo; jyutping: dou1) are single-edged Chinese swords, primarily used for slashing and chopping. They can be straight or curved. The most common form is also known as the Chinese sabre, although those with wider blades are sometimes referred to as Chinese broadswords. In China, the dao is considered one of the four traditional weapons, along with the gun (stick or staff), qiang (spear), and the jian (double-edged sword), called in this group ""The General of Weapons"".",jian,Dao (Chinese sword),https://en.wikipedia.org/wiki/Dao_(Chinese_sword),Hand-to-hand combat > Edged and bladed weapons > Swords > Curved one-handed,Wikipedia dataset builder (multi-source),wikipedia_clean_0,CC BY-SA 4.0
"This artifact is described as: Dao (pronunciation: [táʊ], English approximation: dow, Chinese: 刀; pinyin: dāo; jyutping: dou1) are single-edged Chinese swords, primarily used for slashing and chopping. They can be straight or curved. The most common form is also known as the Chinese sabre, although those with wider blades are sometimes referred to as Chinese broadswords. In China, the dao is considered one of the four traditional weapons, along with the gun (stick or staff), qiang (spear), and the jian (double-edged sword), called in this group ""The General of Weapons"".",jian,Dao (Chinese sword),https://en.wikipedia.org/wiki/Dao_(Chinese_sword),Hand-to-hand combat > Edged and bladed weapons > Swords > Curved one-handed,Wikipedia dataset builder (multi-source),wikipedia_clean_1,CC BY-SA 4.0
"Historical record: Dao (pronunciation: [táʊ], English approximation: dow, Chinese: 刀; pinyin: dāo; jyutping: dou1) are single-edged Chinese swords, primarily used for slashing and chopping. They can be straight or curved. The most common form is also known as the Chinese sabre, although those with wider blades are sometimes referred to as Chinese broadswords. In China, the dao is considered one of the four traditional weapons, along with the gun (stick or staff), qiang (spear), and the jian (double-edged sword), called in this group ""The General of Weapons"".",jian,Dao (Chinese sword),https://en.wikipedia.org/wiki/Dao_(Chinese_sword),Hand-to-hand combat > Edged and bladed weapons > Swords > Curved one-handed,Wikipedia dataset builder (multi-source),wikipedia_clean_2,CC BY-SA 4.0
"The French estoc is a type of sword, also called a tuck in English, in use from the 14th to the 17th century. It is characterized by a cruciform hilt with a grip for two-handed use and a straight, edgeless, but sharply pointed blade around 36 to 52 in (91 to 132 cm) in length. It is noted for its ability to pierce mail armor.",estoc,Estoc,https://en.wikipedia.org/wiki/Estoc,Hand-to-hand combat > Edged and bladed weapons > Swords > Straight one-handed,Wikipedia dataset builder (multi-source),wikipedia_clean_0,CC BY-SA 4.0
"This artifact is described as: The French estoc is a type of sword, also called a tuck in English, in use from the 14th to the 17th century. It is characterized by a cruciform hilt with a grip for two-handed use and a straight, edgeless, but sharply pointed blade around 36 to 52 in (91 to 132 cm) in length. It is noted for its ability to pierce mail armor.",estoc,Estoc,https://en.wikipedia.org/wiki/Estoc,Hand-to-hand combat > Edged and bladed weapons > Swords > Straight one-handed,Wikipedia dataset builder (multi-source),wikipedia_clean_1,CC BY-SA 4.0
